Zip Code,City,State,Metro,CountyName,SizeRank,Median_Price
1902,Lynn,MA,Boston,Essex,1402,189
1904,Lynn,MA,Boston,Essex,5564,212
1905,Lynn,MA,Boston,Essex,3642,195
1906,Saugus,MA,Boston,Essex,2408,248
1907,Swampscott,MA,Boston,Essex,5969,242
1908,Nahant,MA,Boston,Essex,9621,300
1913,Town of Amesbury,MA,Boston,Essex,4943,196
1915,Beverly,MA,Boston,Essex,1504,236
1921,Town of Boxford,MA,Boston,Essex,7430,227
1922,Newbury,MA,Boston,Essex,10766,215
1923,Danvers,MA,Boston,Essex,2413,220
1929,Town of Essex,MA,Boston,Essex,9617,279
1930,Gloucester,MA,Boston,Essex,2032,276
1938,Town of Ipswich,MA,Boston,Essex,6373,239
1940,Lynnfield,MA,Boston,Essex,6083,246
1944,Manchester,MA,Boston,Essex,8681,337
1945,Marblehead,MA,Boston,Essex,4474,303
1949,Middleton,MA,Boston,Essex,7780,247
1950,Newburyport,MA,Boston,Essex,4555,293
1951,Newbury,MA,Boston,Essex,9757,284
1952,Town of Salisbury,MA,Boston,Essex,7631,209
1960,Peabody,MA,Boston,Essex,444,220
1966,Rockport,MA,Boston,Essex,8637,328
1969,Town of Rowley,MA,Boston,Essex,9758,221
1970,Salem,MA,Boston,Essex,915,210
1982,Hamilton,MA,Boston,Essex,8367,271
1983,Town of Topsfield,MA,Boston,Essex,8171,247
1984,Wenham,MA,Boston,Essex,8724,258
1985,West Newbury,MA,Boston,Essex,9053,216
2019,Town of Bellingham,MA,Boston,Norfolk,5839,174
2021,Canton,MA,Boston,Norfolk,4121,249
2025,Cohasset,MA,Boston,Norfolk,8255,319
2026,Dedham,MA,Boston,Norfolk,4161,293
2030,Town of Dover,MA,Boston,Norfolk,10842,285
2032,East Walpole,MA,Boston,Norfolk,11764,242
2035,Town of Foxborough,MA,Boston,Norfolk,5198,225
2038,Franklin,MA,Boston,Norfolk,2372,210
2043,Town of Hingham,MA,Boston,Plymouth,4789,346
2045,Hull,MA,Boston,Plymouth,10051,245
2048,Mansfield,MA,Providence,Bristol,3395,211
2050,Town of Marshfield,MA,Boston,Plymouth,3498,224
2052,Town of Medfield,MA,Boston,Norfolk,6749,272
2053,Medway,MA,Boston,Norfolk,6077,212
2054,Millis,MA,Boston,Norfolk,9236,218
2056,Norfolk,MA,Boston,Norfolk,7222,229
2061,Norwell,MA,Boston,Plymouth,6537,263
2062,Norwood,MA,Boston,Norfolk,2853,274
2066,Town of Scituate,MA,Boston,Plymouth,5858,273
2067,Town of Sharon,MA,Boston,Norfolk,5808,256
2072,Stoughton,MA,Boston,Norfolk,2263,182
2081,Town of Walpole,MA,Boston,Norfolk,5369,240
2090,Westwood,MA,Boston,Norfolk,5661,332
2093,Wrentham,MA,Boston,Norfolk,6180,211
2108,Boston,MA,Boston,Suffolk,11036,1024
2109,Boston,MA,Boston,Suffolk,9455,795
2110,Boston,MA,Boston,Suffolk,10706,821
2111,Boston,MA,Boston,Suffolk,8188,887
2113,Boston,MA,Boston,Suffolk,8826,768
2114,Boston,MA,Boston,Suffolk,6651,867
2115,Boston,MA,Boston,Suffolk,3379,839
2116,Boston,MA,Boston,Suffolk,4045,970
2118,Boston,MA,Boston,Suffolk,2938,796
2120,Boston,MA,Boston,Suffolk,7374,362
2121,Boston,MA,Boston,Suffolk,2886,213
2122,Boston,MA,Boston,Suffolk,3637,276
2124,Boston,MA,Boston,Suffolk,510,240
2125,Boston,MA,Boston,Suffolk,1920,301
2126,Boston,MA,Boston,Suffolk,3475,229
2127,Boston,MA,Boston,Suffolk,1761,514
2128,Boston,MA,Boston,Suffolk,681,306
2129,Boston,MA,Boston,Suffolk,4994,593
2130,Boston,MA,Boston,Suffolk,1429,402
2131,Boston,MA,Boston,Suffolk,2910,293
2132,Boston,MA,Boston,Suffolk,2968,322
2134,Boston,MA,Boston,Suffolk,5548,432
2135,Boston,MA,Boston,Suffolk,1881,441
2136,Boston,MA,Boston,Suffolk,2750,250
2138,Cambridge,MA,Boston,Middlesex,2155,631
2139,Cambridge,MA,Boston,Middlesex,1299,590
2140,Cambridge,MA,Boston,Middlesex,5910,537
2141,Cambridge,MA,Boston,Middlesex,7093,624
2142,Cambridge,MA,Boston,Middlesex,9918,710
2143,Somerville,MA,Boston,Middlesex,3016,460
2144,Somerville,MA,Boston,Middlesex,4242,466
2145,Somerville,MA,Boston,Middlesex,2703,362
2148,Malden,MA,Boston,Middlesex,221,246
2149,Everett,MA,Boston,Middlesex,829,226
2150,Chelsea,MA,Boston,Suffolk,1291,222
2151,Revere,MA,Boston,Suffolk,290,216
2152,Winthrop,MA,Boston,Suffolk,4846,248
2155,Medford,MA,Boston,Middlesex,247,303
2169,Quincy,MA,Boston,Norfolk,581,267
2170,Quincy,MA,Boston,Norfolk,4752,292
2171,Quincy,MA,Boston,Norfolk,5284,312
2176,Melrose,MA,Boston,Middlesex,2937,273
2180,Stoneham,MA,Boston,Middlesex,4051,249
2184,Braintree,MA,Boston,Norfolk,1876,241
2186,Milton,MA,Boston,Norfolk,2861,283
2188,Weymouth,MA,Boston,Norfolk,6810,239
2189,Weymouth,MA,Boston,Norfolk,6051,230
2190,Weymouth,MA,Boston,Norfolk,4916,228
2191,Weymouth,MA,Boston,Norfolk,8537,246
2210,Boston,MA,Boston,Suffolk,12035,680
2215,Boston,MA,Boston,Suffolk,3853,767
2301,Brockton,MA,Boston,Plymouth,213,152
2302,Brockton,MA,Boston,Plymouth,1345,158
2322,Avon,MA,Boston,Norfolk,9034,214
2324,Town of Bridgewater,MA,Boston,Plymouth,2464,186
2330,Carver,MA,Boston,Plymouth,7502,195
2332,Town of Duxbury,MA,Boston,Plymouth,6566,260
2333,East Bridgewater,MA,Boston,Plymouth,5476,196
